iter	RMSE
132	0.427464149
133	0.4269910077
134	0.4259862425
135	0.4255504662
136	0.4245099736
137	0.4235334301
138	0.4229604164
139	0.4221512212
140	0.4213402068
141	0.4204487919
142	0.4193561511
143	0.4184428804
144	0.4176372622
145	0.416930713
146	0.4162409148
147	0.4157397584
148	0.4153901196
149	0.4144789337
150	0.4137061106
151	0.4129002348
152	0.41229573
153	0.4113548079
154	0.4102547834
155	0.4098528177
156	0.4090482032
157	0.4082936435
158	0.4071112572
159	0.4061948247
160	0.4054662321
161	0.4050518669
162	0.4045341964
163	0.4037755355
164	0.4030582378
165	0.4025412328
166	0.4021852815
167	0.4016559227
168	0.4012570742
169	0.4008404041
170	0.4001033946
171	0.399699723
172	0.3993999741
173	0.3986556425
174	0.3983704325
175	0.3978042223
176	0.3973676812
177	0.3963866906
178	0.3959900271
179	0.3947948035
180	0.3939574057
181	0.393438065
182	0.392679142
183	0.3923619999
184	0.3920264925
185	0.3910792212
186	0.3901804536
187	0.3895785788
188	0.3886951749
189	0.3878715803
190	0.3871443431
191	0.38661658
192	0.3859315641
193	0.3852353514
194	0.3848188808
195	0.3839805994
196	0.3835455582
197	0.3833477897
198	0.3827679386
199	0.3821384562
200	0.3814845697
201	0.3810900945
202	0.3803939167
203	0.3793311727
204	0.3788655759
205	0.3785834868
206	0.3779664056
207	0.3771824847
208	0.3763856263
209	0.3761453601
210	0.3755096147
211	0.3751601484
212	0.3741624672
213	0.3733066496
214	0.3726586035
215	0.3720194053
216	0.3718472224
217	0.3709802451
218	0.3707746068
219	0.3702100425
220	0.3698066991
221	0.3693070975
222	0.3682869626
223	0.3677933878
224	0.3673465607
225	0.3669727205
226	0.3663101581
227	0.3661128596
228	0.3654460638
229	0.3648888494
230	0.3643217027
231	0.363722774
232	0.3629236184
233	0.3624833024
234	0.361882533
235	0.3610997104
236	0.3607427729
237	0.3601373991
238	0.3593596239
239	0.3589799115
240	0.3585791824
241	0.3582150864
242	0.3576753348
243	0.3566716817
244	0.3560998041
245	0.3556018115
246	0.3551611642
247	0.3550458775
248	0.3540236265
249	0.3534144177
250	0.3527658198
251	0.351960627
252	0.3515349284
253	0.3510522663
254	0.350489448
255	0.3501235477
256	0.3499855225
257	0.3496778221
258	0.3490110236
259	0.3486366376
260	0.3480087735
261	0.3477255627
262	0.3472897377
263	0.3469058437
264	0.3465760994
265	0.34600786
266	0.3457959382
267	0.3454801908
268	0.3453987715
269	0.3451236041
270	0.3450249439
271	0.3443170715
272	0.3438855449
273	0.3435702179
274	0.3429101585
275	0.3425428358
276	0.3422286125
277	0.3415381753
278	0.3409999748
279	0.3405534221
280	0.3402346601
281	0.3399576958
282	0.3396618318
283	0.3391104075
284	0.3388501354
285	0.3384958708
286	0.3376185782
287	0.3371941649
288	0.3365776686
289	0.3362840513
290	0.3354594966
291	0.3350987796
292	0.3344264003
293	0.3340672858
294	0.3335687488
295	0.3327672515
296	0.3323262802
297	0.331889206
298	0.3312915467
299	0.3309284699
300	0.3305685759
301	0.3302673979
302	0.3298247453
303	0.3291773271
304	0.3287989677
305	0.3282409889
306	0.3279218999
307	0.3275453951
308	0.3267569587
309	0.3261763095
310	0.3258471236
311	0.3257488372
312	0.3252460805
313	0.3245881843
314	0.3241114884
315	0.3237154779
316	0.3229897112
317	0.3225429393
318	0.3222146516
319	0.3218161375
320	0.3213532721
321	0.3209730214
322	0.3204760082
323	0.3197551459
324	0.319277872
325	0.3186437834
326	0.3181507423
327	0.3179069067
328	0.3171765876
329	0.3166101375
330	0.3162074924
331	0.3157441229
332	0.3153935156
333	0.3152820896
334	0.3147210707
335	0.3143872071
336	0.3139345173
337	0.3136851454
338	0.3132744211
339	0.3128406509
340	0.3124669747
341	0.3119803604
342	0.3114184129
343	0.3111151188
344	0.3109002567
345	0.3106069338
346	0.3104501697
347	0.3100467739
348	0.3096031577
349	0.3091952116
350	0.3089733764
351	0.308548388
352	0.3081856193
353	0.308004744
354	0.3073586325
355	0.3069938069
356	0.3066360931
357	0.3062045757
358	0.3061185835
359	0.3056904678
360	0.3054246717
361	0.3052036297
362	0.304743714
363	0.3042244675
364	0.3040027327
365	0.3035612419
366	0.3031984513
367	0.302872574
368	0.3023225555
369	0.3018687152
370	0.301678812
371	0.3011110912
372	0.3006663616
373	0.2999166782
374	0.299831175
375	0.2995989745
376	0.2993879835
377	0.2990673876
378	0.2986186466
379	0.2984492158
380	0.2982850128
381	0.2979285441
382	0.2973985721
383	0.2971209543
384	0.296890695
385	0.2963487779
386	0.2959704535
387	0.2953446129
388	0.2949923457
389	0.2946979976
390	0.2940781006
391	0.2934949491
392	0.2928987712
393	0.2926391656
394	0.2922611637
395	0.2920301324
396	0.291383922
397	0.2911492609
398	0.2907463757
399	0.2903112167
