STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform,Year
2557,"KAWAR LAKE, BEGUSARAI, 
BIHAR",LAKE,BIHAR,19,32,5.4,8,7.2,7.9,222,325,2.1,2.8,0,0,7000,26000,15000,38000,2017
2571,"MOTI JHEEL AT MOTIHARII, 
BIHAR",LAKE,BIHAR,18,34,6.2,7.9,7,8,275,1190,2.1,2.8,0,0,2100,14000,3100,24000,2017
2573,"TIGHI TALAB AT GAYA, BIHAR",POND,BIHAR,18,34,6.2,9.5,7.1,8.1,340,748,2.6,3.2,0,0,1700,27000,3900,40000,2017
2574,"SURAJ KUND AT GAYA, BIHAR",POND,BIHAR,18,33,6.4,9.8,7.4,8.2,308,600,2.3,3,0,0,1700,21000,2700,32000,2017
2046,"SUKHNA LAKE, CHANDIGARH",LAKE,CHANDIGARH,14,32,5.1,9.7,6.7,9.1,137,244,3,203,0.28,5.2,2,210000,2,540000,2017
3163,"HITKASA TAILING DAM, 
RAJHARA, CHHATISGARH.",LAKE,CHHATTISGARH,,,5.8,12,7,7.9,,,,,0,0.47,,,260,260,2017
3164,"NEHRU NAGAR TALAB, BHILAI, 
CHHATISGARH.",POND,CHHATTISGARH,,,6.4,7.2,7.2,7.8,,,,,0,0.37,,,460,460,2017
1549,"SALAULIM LAKE AT SALAULIM 
- SANGUEM, GOA",LAKE,GOA,26,35,6.1,8.3,6.3,7.6,42,337,0,1.5,0,0.16,8,7900,2,13000,2017
2269,"MAYEM LAKE, BICHOLIM",LAKE,GOA,26.5,33,4.4,8.8,5.2,7.4,38,77,0.5,2.2,0,0.83,220,4900,260,9200,2017
3175,ANJUNEM LAKE,LAKE,GOA,27,32.5,6.1,9.1,6.2,7.9,43,100,0.4,2,0.01,0.42,8,130,2,540,2017
