Water_Body_Type,State_Name,Year,Temperature,DO,pH,Conductivity,BOD,Nitrate_Nitrite,Fecal_Coliform,Total_Coliform,Conductivity_log,BOD_log,Nitrate_Nitrite_log,Total_Coliform_log,Fecal_Coliform_log,DO_sqrt
POND,ASSAM,2017,30.5,5.3,6.65,35.0,11.1,0.75,1150.0,2655.0,3.58351893845611,2.4932054526026954,0.5596157879354227,7.884576510596324,7.048386408721883,2.3021728866442674
POND,ASSAM,2017,28.5,3.5500000000000003,6.85,43.5,3.0,1.1,1200.0,14955.0,3.7954891891721947,1.3862943611198906,0.7419373447293773,9.612867836097005,7.0909098220799835,1.8841443681416772
POND,ASSAM,2017,27.5,8.45,8.45,186.5,9.25,1.85,900.0,2380.0,5.233778845410465,2.327277705584417,1.0473189942805592,7.7752758464868625,6.803505257608338,2.9068883707497264
POND,ASSAM,2017,25.0,6.800000000000001,7.300000000000001,349.5,4.5,2.3,10850.0,120180.0,5.859360706474645,1.7047480922384253,1.1939224684724346,11.696754218705356,9.292012520620208,2.6076809620810595
POND,ASSAM,2017,26.0,8.45,7.9,217.5,4.8,9.709999999999999,1150.0,2165.0,5.3867860145356445,1.7578579175523736,2.3711778844596574,7.680637427560936,7.048386408721883,2.9068883707497264
POND,ASSAM,2017,28.0,8.5,7.55,213.5,9.2,1.25,900.0,10955.0,5.368309738368072,2.322387720290225,0.8109302162163288,9.301642530382969,6.803505257608338,2.9154759474226504
POND,ASSAM,2017,28.0,6.85,6.6,37.0,2.25,2.6,515.0,1530.0,3.6375861597263857,1.1786549963416462,1.2809338454620642,7.333676395657684,6.246106765481563,2.6172504656604803
POND,ASSAM,2017,29.0,7.3500000000000005,7.25,113.0,3.5,0.85,1500.0,6150.0,4.736198448394496,1.5040773967762742,0.6151856390902334,8.724369949208368,7.313886831633462,2.711088342345192
POND,ASSAM,2017,29.5,5.1,7.0,28.5,4.3,0.75,515.0,1380.0,3.3843902633457743,1.667706820558076,0.5596157879354227,7.2305631534092925,6.246106765481563,2.258317958127243
POND,ASSAM,2017,28.5,5.300000000000001,7.0,42.5,3.75,2.55,1900.0,2380.0,3.7727609380946383,1.55814461804655,1.2669476034873244,7.7752758464868625,7.550135342488429,2.302172886644268
POND,ASSAM,2017,29.5,5.15,7.050000000000001,62.5,4.5,2.9499999999999997,1150.0,7680.0,4.151039905898646,1.7047480922384253,1.3737155789130304,8.946505025998682,7.048386408721883,2.2693611435820435
POND,ASSAM,2017,24.5,5.25,7.15,99.5,5.449999999999999,0.7999999999999999,900.0,55150.0,4.61015772749913,1.864080130807681,0.5877866649021191,10.917830156883532,6.803505257608338,2.29128784747792
POND,ASSAM,2017,24.5,6.0,7.1,33.0,2.95,0.6000000000000001,1150.0,12180.0,3.5263605246161616,1.3737155789130306,0.47000362924573563,9.407632639699958,7.048386408721883,2.449489742783178
POND,ASSAM,2017,24.5,6.0,7.1,111.5,3.15,1.2,730.0,3930.0,4.722953221644475,1.423108334242607,0.7884573603642702,8.27664912542186,6.594413459749778,2.449489742783178
POND,ASSAM,2017,24.5,7.15,6.75,213.5,2.3,1.2,730.0,10680.0,5.368309738368072,1.1939224684724346,0.7884573603642702,9.276221741089696,6.594413459749778,2.6739483914241875
POND,ASSAM,2017,26.0,5.75,6.95,51.5,2.6,1.4500000000000002,330.0,930.0,3.960813169597578,1.2809338454620642,0.8960880245566357,6.836259277277067,5.802118375377063,2.3979157616563596
POND,ASSAM,2017,27.75,5.65,7.199999999999999,300.5,5.0,1.9500000000000002,1950.0,14955.0,5.70877001616724,1.791759469228055,1.0818051703517284,9.612867836097005,7.576097340623111,2.3769728648009427
POND,ASSAM,2017,23.5,4.4,7.15,150.5,3.55,0.9500000000000001,880.0,1580.0,5.020585624949423,1.5151272329628591,0.6678293725756554,7.365812837209472,6.78105762593618,2.0976176963403033
TANK,ASSAM,2017,24.5,6.2,6.85,28.5,2.2,0.9500000000000001,460.0,1180.0,3.3843902633457743,1.1631508098056809,0.6678293725756554,7.074116816197362,6.133398042996649,2.4899799195977463
LAKE,BIHAR,2017,25.5,6.7,7.550000000000001,273.5,2.45,0.025,16500.0,26500.0,5.614951260949585,1.2383742310432684,0.0246926125903715,10.184937747111391,9.711176264112805,2.588435821108957
LAKE,BIHAR,2017,26.0,7.050000000000001,7.5,732.5,2.45,0.025,8050.0,13550.0,6.597827597583036,1.2383742310432684,0.0246926125903715,9.514215624322715,8.993551586299981,2.6551836094703507
POND,BIHAR,2017,26.0,7.85,7.6,544.0,2.9000000000000004,0.025,14350.0,21950.0,6.300785794663244,1.3609765531356008,0.0246926125903715,9.99656797555214,9.571574905170932,2.80178514522438
POND,BIHAR,2017,25.5,8.100000000000001,7.8,454.0,2.65,0.025,11350.0,17350.0,6.12029741895095,1.2947271675944,0.0246926125903715,9.761405420601672,9.337061124755339,2.8460498941515415
LAKE,CHANDIGARH,2017,23.0,7.3999999999999995,7.9,190.5,72.5,2.74,105001.0,270001.0,5.2548878086207,4.297285406218791,1.3190856114264407,12.506184645360484,11.561734676577304,2.7202941017470885
LAKE,CHHATTISGARH,2017,26.0,8.9,7.45,663.0,4.5,0.235,265.0,260.0,6.498282149476434,1.7047480922384253,0.2110709700799405,5.564520407322694,5.583496308781699,2.9832867780352594
POND,CHHATTISGARH,2017,26.0,6.800000000000001,7.5,663.0,4.5,0.185,265.0,460.0,6.498282149476434,1.7047480922384253,0.1697427745870945,6.133398042996649,5.583496308781699,2.6076809620810595
LAKE,GOA,2017,30.5,7.2,6.949999999999999,189.5,0.75,0.08,3954.0,6501.0,5.249652194566756,0.5596157879354227,0.07696104113612832,8.779865100863852,8.282735880201754,2.6832815729997477
LAKE,GOA,2017,29.75,6.6000000000000005,6.6,57.5,1.35,0.415,2560.0,4730.0,4.069026754237811,0.8544153281560676,0.3471295310952009,8.461891875631148,7.848153086199526,2.569046515733026
LAKE,GOA,2017,29.75,7.6,7.050000000000001,71.5,1.2,0.215,69.0,271.0,4.283586561860629,0.7884573603642702,0.1947440767925118,5.605802066295998,4.248495242049359,2.756809750418044
LAKE,GOA,2017,30.15,4.7,7.15,211.0,3.3,1.23,4340.0,6050.0,5.356586274672012,1.4586150226995167,0.8020015854720274,8.707978826622321,8.375860015299594,2.16794833886788
LAKE,GOA,2017,28.15,5.65,7.050000000000001,149.0,3.05,0.62,4005.0,11070.0,5.0106352940962555,1.3987168811184478,0.4824261492442927,9.312084355859467,8.295548516225763,2.3769728648009427
LAKE,GOA,2017,31.5,6.949999999999999,6.8,244.5,5.45,0.095,12100.0,17725.0,5.503296947234575,1.864080130807681,0.09075436326846414,9.782787767298343,9.401043372798053,2.6362852652928135
LAKE,GOA,2017,28.75,3.9,7.1,334.5,6.55,5.785,44500.0,73000.0,5.815621956411737,2.0215475632609334,1.9147142932868324,11.19822841866684,10.703266939811954,1.9748417658131499
LAKE,GOA,2017,31.5,6.25,6.6,336.0,5.65,0.74,4015.0,6615.0,5.820082930352362,1.8946168546677629,0.5538851132264376,8.797246236703527,8.298041661371565,2.5
LAKE,GUJARAT,2017,31.5,7.9,8.75,2893.5,58.5,0.3,28.5,294.0,7.970567663519059,4.085976312551584,0.262364264467491,5.68697535633982,3.3843902633457743,2.8106938645110393
LAKE,GUJARAT,2017,27.5,5.35,8.15,446.0,18.0,0.3,49.5,299.0,6.102558594613569,2.9444389791664403,0.262364264467491,5.703782474656201,3.9219733362813143,2.3130067012440754
LAKE,GUJARAT,2017,26.0,8.25,7.85,286.5,0.6000000000000001,0.47000000000000003,3.0,12.5,5.661222860237405,0.47000362924573563,0.38526240079064494,2.6026896854443837,1.3862943611198906,2.8722813232690143
LAKE,GUJARAT,2017,28.5,3.55,7.35,3175.0,1.65,0.5900000000000001,15.0,37.0,8.063377822367027,0.9745596399981308,0.4637340162321402,3.6375861597263857,2.772588722239781,1.8841443681416772
LAKE,GUJARAT,2017,29.5,6.2,7.800000000000001,1568.5,72.5,3.2550000000000003,26.5,46.5,7.358512376282008,4.297285406218791,1.4480947620253377,3.8607297110405954,3.3141860046725258,2.4899799195977463
LAKE,GUJARAT,2017,25.5,5.65,7.7,640.0,7.45,0.195,5.5,13.0,6.46302945692067,2.134166441369082,0.178146185383474,2.6390573296152584,1.8718021769015913,2.3769728648009427
LAKE,GUJARAT,2017,24.0,10.35,7.35,1170.0,55.55,0.18,7.5,18.0,7.065613363597717,4.03512520256213,0.16551443847757338,2.9444389791664403,2.1400661634962708,3.2171415884290826
LAKE,GUJARAT,2017,29.5,5.65,8.1,123.0,0.75,0.28,4.0,16.0,4.820281565605037,0.5596157879354227,0.2468600779315258,2.833213344056216,1.6094379124341003,2.3769728648009427
LAKE,GUJARAT,2017,28.5,7.199999999999999,7.9,338.0,2.1,0.06,4.5,17.5,5.82600010738045,1.1314021114911006,0.05826890812397577,2.917770732084279,1.7047480922384253,2.6832815729997477
LAKE,GUJARAT,2017,28.5,7.45,8.3,999.5,1.1,0.165,15.5,37.5,6.908255154023788,0.7419373447293773,0.1527210870176639,3.6506582412937387,2.803360380906535,2.7294688127912363
LAKE,GUJARAT,2017,30.0,6.75,7.75,388.0,1.45,0.46,45.5,79.0,5.963579343618446,0.8960880245566356,0.3784364357202451,4.382026634673881,3.8394523125933104,2.598076211353316
LAKE,GUJARAT,2017,26.0,6.7,7.5,699.5,2.95,0.085,7.0,14.0,6.551794365777062,1.3737155789130306,0.08157998699242289,2.70805020110221,2.0794415416798357,2.588435821108957
LAKE,GUJARAT,2017,30.0,6.55,7.8,1357.0,2.2,0.345,2.0,2.0,7.213768308118642,1.1631508098056809,0.2963940130538024,1.0986122886681098,1.0986122886681098,2.5592967784139455
LAKE,GUJARAT,2017,30.5,10.35,7.75,473.0,1.7000000000000002,0.45,15.0,40.5,6.161207321695077,0.9932517730102834,0.37156355643248307,3.7256934272366524,2.772588722239781,3.2171415884290826
LAKE,GUJARAT,2017,28.5,3.8000000000000003,7.6,1828.5,5.85,6.255000000000001,6.5,15.5,7.511797984459261,1.9242486522741338,1.9816908863361513,2.803360380906535,2.0149030205422647,1.949358868961793
LAKE,GUJARAT,2017,28.0,5.55,8.75,2728.0,37.0,0.265,16.0,98.0,7.911690520708339,3.6375861597263857,0.23507212217948356,4.59511985013459,2.833213344056216,2.355843797877949
LAKE,GUJARAT,2017,28.0,3.6500000000000004,8.05,729.0,4.6,0.29,9.5,30.5,6.593044534142437,1.7227665977411035,0.2546422183735807,3.449987545831587,2.3513752571634776,1.91049731745428
POND,GUJARAT,2017,29.5,6.05,7.6,716.5,1.55,0.06,37.0,135.5,6.5757729476337765,0.9360933591703349,0.05826890812397577,4.916324614625014,3.6375861597263857,2.4596747752497685
POND,GUJARAT,2017,28.0,6.7,6.6,439.0,1.5999999999999999,0.06,279.5,291.5,6.0867747269123065,0.9555114450274363,0.05826890812397577,5.678464666671911,5.636573724962751,2.588435821108957
TANK,GUJARAT,2017,28.0,7.1,7.8500000000000005,321.5,17.5,28.25,36.0,90.5,5.776103136235827,2.917770732084279,3.3758795736778655,4.516338972281476,3.6109179126442243,2.6645825188948455
LAKE,HARYANA,2017,26.0,7.25,7.8500000000000005,361.0,1.7999999999999998,0.025,960.0,4620.0,5.8916442118257715,1.0296194171811581,0.0246926125903715,8.438366410870266,6.8679744089702925,2.692582403567252
LAKE,HARYANA,2017,26.0,7.300000000000001,7.6499999999999995,423.5,3.7,0.025,700.0,3640.0,6.050912005751402,1.547562508716013,0.0246926125903715,8.200013648175434,6.55250788703459,2.701851217221259
LAKE,"HIMACHAL 
PRADESH",2017,17.0,8.8,8.0,374.0,0.6000000000000001,0.53,73.5,570.0,5.926926025970411,0.47000362924573563,0.4252677354043441,6.3473892096560105,4.310799125385514,2.9664793948382653
LAKE,"HIMACHAL 
PRADESH",2017,16.75,7.4,7.9,262.0,0.6000000000000001,0.745,9.0,225.0,5.572154032177765,0.47000362924573563,0.5567545556543905,5.420534999272286,2.302585092994046,2.7202941017470885
LAKE,"HIMACHAL 
PRADESH",2017,18.5,6.5,7.2,802.5,1.9,0.495,56.0,48.0,6.688977185177567,1.0647107369924282,0.40212620684264977,3.8918202981106265,4.04305126783455,2.5495097567963922
LAKE,"HIMACHAL 
PRADESH",2017,21.0,7.15,7.699999999999999,239.0,12.0,0.895,152.0,1070.0,5.480638923341991,2.5649493574615367,0.6392188385343897,6.976348070447749,5.030437921392435,2.6739483914241875
LAKE,"HIMACHAL 
PRADESH",2017,14.0,6.1,7.25,101.0,5.4,0.765,27.5,745.0,4.624972813284271,1.8562979903656263,0.56815069038526,6.61472560020376,3.349904087274605,2.4698178070456938
LAKE,KARNATAKA,2017,31.5,7.0,8.350000000000001,538.0,5.5,1.275,39665.0,271545.0,6.289715570908998,1.8718021769015913,0.8219800524029137,12.511886833102244,10.588249676561633,2.6457513110645907
LAKE,KARNATAKA,2017,25.0,5.2,8.0,1046.0,3.85,3.02,1015.0,4200.0,6.953684210870537,1.5789787049493917,1.3912819026309295,8.343077871169383,6.923628628138427,2.280350850198276
LAKE,KARNATAKA,2017,26.5,3.9,7.8,1871.5,15.65,0.74,1850.0,5850.0,7.535029715391374,2.8124102164264526,0.5538851132264376,8.674367865788236,7.523481312573497,1.9748417658131499
LAKE,KARNATAKA,2017,28.0,6.35,8.45,738.0,6.5,0.44000000000000006,1310.0,5450.0,6.6052979209482015,2.0149030205422647,0.3646431135879093,8.603554357064281,7.1785454837637,2.5199206336708304
LAKE,KARNATAKA,2017,27.0,2.1500000000000004,7.8,964.0,17.2,2.165,3000.0,7350.0,6.872128101338986,2.9014215940827497,1.1521530555961395,8.902591637374087,8.006700845440367,1.466287829861518
LAKE,KARNATAKA,2017,29.5,2.3,7.9,987.0,17.6,1.92,2200.0,7350.0,6.895682697747868,2.9231615807191558,1.0715836162801904,8.902591637374087,7.696667081526462,1.51657508881031
LAKE,KARNATAKA,2017,28.0,4.55,8.5,822.0,9.9,0.39,1615.0,5500.0,6.71295620067707,2.388762789235098,0.3293037471426004,8.612685172875459,7.38770923908104,2.1330729007701543
LAKE,KARNATAKA,2017,28.0,5.1,8.55,789.0,7.4,0.42,1510.0,5450.0,6.672032945461067,2.128231705849268,0.3506568716131694,8.603554357064281,7.32052696227274,2.258317958127243
LAKE,KARNATAKA,2017,23.5,5.95,7.05,441.0,4.5,4.095,2555.0,11910.0,6.091309882077698,1.7047480922384253,1.628259666674688,9.385217621880901,7.846198815497425,2.4392621835300936
LAKE,KARNATAKA,2017,28.0,4.35,7.25,457.0,13.5,2.44,245395.0,546740.0,6.126869184114185,2.6741486494265287,1.235471471385307,13.211730477498183,12.410628511207603,2.085665361461421
LAKE,KARNATAKA,2017,31.5,7.0,8.100000000000001,498.0,5.5,1.205,39635.0,271545.0,6.212606095751519,1.8718021769015913,0.7907275088988094,12.511886833102244,10.58749307517879,2.6457513110645907
LAKE,KARNATAKA,2017,29.5,4.0,7.05,3188.5,34.3,6.85,170500.0,1794500.0,8.06761944368201,3.563882963939251,2.060513531794317,14.400237546827933,12.046496440791149,2.0
LAKE,KARNATAKA,2017,30.5,3.35,8.75,1269.0,24.5,5.55,1779500.0,8774000.0,7.146772179452637,3.2386784521643803,1.8794650496471605,15.987303474681392,14.391843545887832,1.8303005217723127
LAKE,KARNATAKA,2017,29.0,4.0,7.6,1549.5,25.0,2.625,651100.0,1747050.0,7.346332738540504,3.258096538021482,1.2878542883066382,14.373439781592207,13.38642005508616,2.0
LAKE,KARNATAKA,2017,28.0,5.449999999999999,8.1,803.5,7.0,1.48,245165.0,706740.0,6.690220966432438,2.0794415416798357,0.9082585601768908,13.468419541127389,12.40969081111321,2.33452350598575
LAKE,KARNATAKA,2017,28.0,5.75,8.0,1052.0,6.5,1.5,105245.0,876740.0,6.959398512133975,2.0149030205422647,0.9162907318741551,13.68396690276582,11.564055746071835,2.3979157616563596
LAKE,KARNATAKA,2017,29.0,5.75,7.1,1081.0,45.0,2.0,2700.0,14100.0,6.9865664594064265,3.828641396489095,1.0986122886681098,9.55400099583723,7.901377353792616,2.3979157616563596
LAKE,KARNATAKA,2017,28.5,3.95,7.4,1158.5,8.25,8.0,396350.0,2727400.0,7.055744156695586,2.224623551524334,2.1972245773362196,14.81885969905536,12.8900554612847,1.9874606914351791
LAKE,KARNATAKA,2017,28.0,4.0,7.7,1185.0,8.3,1.65,860700.0,2718600.0,7.078341579557671,2.2300144001592104,0.9745596399981308,14.815627967719603,13.6655024524819,2.0
LAKE,KARNATAKA,2017,29.0,4.6,7.6,782.0,12.45,5.37,166650.0,550450.0,6.663132695990803,2.598979106047848,1.851599469584072,13.21849322119233,12.023657084317943,2.1447610589527217
LAKE,KARNATAKA,2017,27.15,3.85,7.75,875.0,10.5,1.85,60700.0,862710.0,6.775366090936392,2.4423470353692043,1.0473189942805592,13.667835035649894,11.013715451376466,1.9621416870348585
LAKE,KARNATAKA,2017,27.05,5.1,7.4,802.0,7.5,2.15,395350.0,861105.0,6.688354713946762,2.1400661634962708,1.1474024528375417,13.665972888491824,12.8875292569002,2.258317958127243
LAKE,KARNATAKA,2017,27.0,5.95,7.55,1064.0,6.25,7.65,245135.0,861105.0,6.970730078143525,1.9810014688665833,2.157559320943788,13.665972888491824,12.409568437555535,2.4392621835300936
LAKE,KARNATAKA,2017,27.1,4.55,7.6,927.0,72.5,4.5,396650.0,2715450.0,6.833031732786201,4.297285406218791,1.7047480922384253,14.814468611735219,12.890812079841304,2.1330729007701543
LAKE,KARNATAKA,2017,28.5,3.1,6.9,1414.0,72.5,6.04,1660500.0,4010000.0,7.254884810077338,4.297285406218791,1.951608170169951,15.20430204865928,14.322629922027001,1.760681686165901
LAKE,KARNATAKA,2017,28.5,6.85,7.3,976.0,7.0,4.83,350850.0,710450.0,6.884486652042782,2.0794415416798357,1.763017000362401,13.47365525862382,12.768116910897264,2.6172504656604803
LAKE,KARNATAKA,2017,30.0,6.75,8.2,1185.5,14.0,5.96,245850.0,2713950.0,7.078763075875818,2.70805020110221,1.9401794743463283,14.81391606468191,12.412480940352658,2.598076211353316
LAKE,KARNATAKA,2017,29.0,4.45,7.95,1622.0,20.25,3.59,39555.0,65600.0,7.392031567514591,3.056356895370426,1.5238800240724537,11.091346218718432,10.585472668389881,2.1095023109728985
LAKE,KARNATAKA,2017,29.0,3.7,8.0,1008.5,14.0,2.675,7110.0,272740.0,6.9172104377528925,2.70805020110221,1.3015531326648,12.516277905900667,8.869398159883518,1.9235384061671346
LAKE,KARNATAKA,2017,24.5,6.75,7.35,564.0,3.5,0.975,2045.0,10340.0,6.336825731146441,1.5040773967762742,0.6805683983530851,9.243871855184976,7.6236419465115715,2.598076211353316
LAKE,KARNATAKA,2017,24.5,6.5,6.9,155.0,3.0,3.05,2695.0,28840.0,5.049856007249537,1.3862943611198906,1.3987168811184478,10.269553264861555,7.899524472032198,2.5495097567963922
LAKE,KARNATAKA,2017,27.5,6.550000000000001,7.4,198.5,3.0,1.085,4035.0,17945.0,5.295814236329918,1.3862943611198906,0.7347688552507647,9.795122527858004,8.3030093814735,2.5592967784139455
TANK,KARNATAKA,2017,27.0,7.2,7.6,507.5,4.5,0.095,1020.0,2050.0,6.2314652154886145,1.7047480922384253,0.09075436326846414,7.62608275807238,6.928537818164665,2.6832815729997477
TANK,KARNATAKA,2017,29.0,7.199999999999999,8.75,2138.5,4.5,0.195,5000.0,9600.0,7.668327435856871,1.7047480922384253,0.178146185383474,9.169622538697624,8.517393171418904,2.6832815729997477
TANK,KARNATAKA,2017,27.0,7.1,7.75,594.5,4.5,0.095,1120.0,3650.0,6.3894013887953545,1.7047480922384253,0.09075436326846414,8.202756381655638,7.02197642307216,2.6645825188948455
TANK,KARNATAKA,2017,30.0,6.5,7.15,211.5,2.0,1.24,176.0,802.5,5.358941988364472,1.0986122886681098,0.8064758658669484,6.688977185177567,5.176149732573829,2.5495097567963922
TANK,KARNATAKA,2017,26.5,6.1,7.85,688.0,6.0,1.94,1200.0,5150.0,6.535241271013659,1.9459101490553132,1.0784095813505903,8.546946149565585,7.0909098220799835,2.4698178070456938
TANK,KARNATAKA,2017,28.5,5.35,7.7,841.0,8.75,5.5,245700.0,656500.0,6.7357800142423265,2.277267285009756,1.8718021769015913,13.394679495953074,12.411870628505058,2.3130067012440754
TANK,KARNATAKA,2017,27.5,8.75,7.35,540.5,6.5,2.62,470245.0,1106200.0,6.294343066441045,2.0149030205422647,1.2864740258376797,13.916442180537967,13.06101124101333,2.958039891549808
TANK,KARNATAKA,2017,26.5,6.25,7.3999999999999995,547.5,6.5,1.75,9800.0,276450.0,6.307187279715285,2.0149030205422647,1.0116009116784799,12.529788869050186,9.19023970026918,2.5
TANK,KARNATAKA,2017,31.5,6.95,7.1,558.5,9.0,8.4,24665.0,174350.0,6.32704352775198,2.302585092994046,2.2407096892759584,12.06882578767668,10.113181056125933,2.6362852652928135
TANK,KARNATAKA,2017,26.0,5.8,7.45,950.0,4.5,2.17,15150.0,99900.0,6.85751406254539,1.7047480922384253,1.1537315878891892,11.511934974596555,9.625821815359835,2.4083189157584592
TANK,KARNATAKA,2017,26.5,4.75,7.35,828.5,3.5,2.495,24100.0,276450.0,6.7208231096305,1.5040773967762742,1.2513333756857736,12.529788869050186,10.090008612393838,2.179449471770337
TANK,KARNATAKA,2017,27.0,6.6,7.75,1029.0,72.5,5.0,110115.0,862710.0,6.937314081223682,4.297285406218791,1.791759469228055,13.667835035649894,11.60928963458664,2.569046515733026
TANK,KARNATAKA,2017,29.5,3.7,7.2,3196.0,65.0,7.51,245165.0,1105705.0,8.069968149059841,4.189654742026425,2.1412419425852827,13.915994602942469,12.40969081111321,1.9235384061671346
TANK,KARNATAKA,2017,27.0,4.65,7.35,1994.0,16.0,2.5250000000000004,200500.0,2749500.0,7.598399329323964,2.833213344056216,1.2598804362642322,14.826929998632432,12.208574513247495,2.1563858652847827
TANK,KARNATAKA,2017,27.0,9.05,7.85,865.5,10.5,1.065,85165.0,545395.0,6.7644621091556605,2.4423470353692043,0.7251302264129961,13.20926741529999,11.3523575721385,3.0083217912982647
TANK,KARNATAKA,2017,27.1,6.75,7.25,1062.5,23.5,1.59,651050.0,1744700.0,6.969320634640292,3.1986731175506815,0.9516578757114464,14.372093752232269,13.386343259136034,2.598076211353316
TANK,KARNATAKA,2017,31.5,7.05,7.15,1013.5,5.5,4.244999999999999,24895.0,72240.0,6.922151159265869,1.8718021769015913,1.6572752418482604,11.187763030741458,10.122462426978117,2.6551836094703507
TANK,KARNATAKA,2017,25.0,6.800000000000001,7.45,1047.5,16.5,5.76,245130.0,1751000.0,6.955115850341975,2.8622008809294686,1.9110228900548727,14.375698182370053,12.409548040506579,2.6076809620810595
TANK,KARNATAKA,2017,30.0,6.1000000000000005,7.8,1011.5,13.5,3.88,86245.0,271395.0,6.920177798980694,2.6741486494265287,1.5851452198650557,12.51133428788078,11.364958957006575,2.4698178070456938
TANK,KARNATAKA,2017,25.0,6.5,7.3,1167.0,7.0,1.005,110850.0,548950.0,7.0630481633881725,2.0794415416798357,0.6956440607585325,13.21576446332075,11.615942236203587,2.5495097567963922
TANK,KARNATAKA,2017,30.0,6.6,7.3,558.5,41.5,2.85,165085.0,397710.0,6.32704352775198,3.7495040759303713,1.3480731482996928,12.893480889852755,12.014221829220071,2.569046515733026
TANK,KARNATAKA,2017,27.4,3.95,7.5,1154.5,11.8,9.7,858500.0,4004500.0,7.0522884297144355,2.5494451709255714,2.3702437414678603,15.202929536464909,13.662943124141353,1.9874606914351791
TANK,KARNATAKA,2017,24.5,6.1499999999999995,7.35,284.5,3.5,1.085,178000.0,631000.0,5.654242029096065,1.5040773967762742,0.7347688552507647,13.355062726308148,12.08954444723597,2.479919353527449
TANK,KARNATAKA,2017,31.5,0.6,6.8,3030.0,72.5,6.0,40000.0,278000.0,8.016647877057803,4.297285406218791,1.9459101490553132,12.535379989788607,10.596659732783579,0.7745966692414834
TANK,KARNATAKA,2017,29.25,5.8999999999999995,7.65,802.0,70.5,3.15,470110.0,1725650.0,6.688354713946762,4.269697449699962,1.423108334242607,14.361114928557758,13.060724116015212,2.4289915602982237
TANK,KARNATAKA,2017,29.55,7.4,7.9,673.5,29.0,3.675,165070.0,350545.0,6.51397167564781,3.4011973816621555,1.5422291627406504,12.76724721792959,12.014130963359221,2.7202941017470885
TANK,KARNATAKA,2017,27.0,6.199999999999999,7.65,389.5,4.0,2.39,7135.0,20110.0,5.967427969279741,1.6094379124341003,1.220829921392359,9.909022208034603,8.872907674259846,2.4899799195977463
TANK,KARNATAKA,2017,27.5,3.6,7.6,1592.0,28.5,9.965,55050.0,274950.0,7.373374309910049,3.3843902633457743,2.3947083818698514,12.524348178954261,10.916015307290108,1.8973665961010275
TANK,KARNATAKA,2017,27.5,3.6999999999999997,7.25,1509.0,48.0,10.940000000000001,165700.0,355450.0,7.31986492980897,3.8918202981106265,2.4798941079644563,12.78114268468888,12.017940238399461,1.9235384061671343
TANK,KARNATAKA,2017,28.5,6.1,7.15,442.5,4.0,2.0,5695.0,17795.0,6.094697801749634,1.6094379124341003,1.0986122886681098,9.786728991925932,8.647519453091812,2.4698178070456938
TANK,KARNATAKA,2017,29.0,4.75,7.15,2937.5,30.5,4.135,39605.0,272200.0,7.985654526052705,3.449987545831587,1.6360798433805215,12.514296042962041,10.586735900916826,2.179449471770337
