Water_Body_Type,State_Name,Year,Temperature,DO,pH,Conductivity,BOD,Nitrate_Nitrite,Fecal_Coliform,Total_Coliform,Conductivity_log,BOD_log,Nitrate_Nitrite_log,Total_Coliform_log,Fecal_Coliform_log,DO_sqrt,BOD_Temp,BOD_Conductivity,Nitrate_Temp,BOD_Temp_log,BOD_Conductivity_log,Is_Monsoon
LAKE,ANDHRA PRADESH,2017,26.0,6.35,7.65,815.5,1.7999999999999998,2.26,20.0,1375.0,6.70502691241052,1.0296194171811581,1.1817271953786161,7.226936018493289,3.044522437723423,2.5199206336708304,46.8,1467.8999999999999,58.75999999999999,3.86702563949741,7.292269100337369,1
LAKE,ASSAM,2017,23.5,4.7,6.6,89.0,8.6,0.9,1150.0,3380.0,4.499809670330265,2.2617630984737906,0.6418538861723948,8.125926802707886,7.048386408721883,2.16794833886788,202.1,765.4,21.150000000000002,5.313698468586339,6.641704226656651,1
LAKE,ASSAM,2017,29.0,5.55,7.199999999999999,103.5,1.8499999999999999,0.75,750.0,2800.0,4.6491870714048655,1.047318994280559,0.5596157879354227,7.937731775260109,6.621405651764134,2.355843797877949,53.65,191.475,21.75,4.000949214622548,5.259966275164113,1
POND,ASSAM,2017,28.0,2.65,7.6,617.5,9.6,3.25,2300.0,10865.0,6.427297191832543,2.3608540011180215,1.4469189829363254,9.293393927111468,7.741099090035366,1.6278820596099706,268.8,5928.0,91.0,5.597680943773655,8.687610843707368,1
POND,ASSAM,2017,27.5,5.15,6.699999999999999,130.5,10.15,1.2,1200.0,14680.0,4.879006851617819,2.411439497906128,0.7884573603642702,9.59430941973946,7.0909098220799835,2.2693611435820435,279.125,1324.575,33.0,5.635235932121091,7.189601606550083,1
POND,ASSAM,2017,24.5,6.15,6.699999999999999,31.5,2.6,1.3,930.0,7650.0,3.481240089335692,1.2809338454620642,0.832909122935104,8.942591637231851,6.836259277277067,2.479919353527449,63.7,81.9,31.85,4.169761201506855,4.417635062141249,1
POND,ASSAM,2017,26.0,6.65,6.699999999999999,30.5,3.0,0.9,1580.0,10680.0,3.449987545831587,1.3862943611198906,0.6418538861723948,9.276221741089696,7.365812837209472,2.5787593916455256,78.0,91.5,23.400000000000002,4.3694478524670215,4.52720864451838,1
POND,ASSAM,2017,26.5,5.8,7.050000000000001,63.0,2.95,1.0,900.0,2350.0,4.1588830833596715,1.3737155789130306,0.6931471805599453,7.762596048540069,6.803505257608338,2.4083189157584592,78.17500000000001,185.85000000000002,26.5,4.371660592424703,5.230306155931493,1
POND,ASSAM,2017,26.0,7.75,8.1,229.5,8.25,2.15,510.0,2350.0,5.440250862436703,2.224623551524334,1.1474024528375417,7.762596048540069,6.236369590203704,2.7838821814150108,214.5,1893.375,55.9,5.372960909543803,7.546644247812067,1
POND,ASSAM,2017,25.0,8.3,7.3,78.0,4.5,0.7,1180.0,1980.0,4.3694478524670215,1.7047480922384253,0.5306282510621704,7.591357046698551,7.074116816197362,2.8809720581775866,112.5,351.0,17.5,4.7318028369214575,5.863631175598097,1
POND,ASSAM,2017,25.5,7.65,8.0,136.0,11.65,1.4,605.0,930.0,4.919980925828125,2.5376572151735295,0.8754687373538999,6.836259277277067,6.406879986069314,2.7658633371878665,297.075,1584.4,35.699999999999996,5.697345132692195,7.368592020403056,1
POND,ASSAM,2017,30.5,5.3,6.65,35.0,11.1,0.75,1150.0,2655.0,3.58351893845611,2.4932054526026954,0.5596157879354227,7.884576510596324,7.048386408721883,2.3021728866442674,338.55,388.5,22.875,5.8276212115598005,5.964863865310803,1
POND,ASSAM,2017,28.5,3.5500000000000003,6.85,43.5,3.0,1.1,1200.0,14955.0,3.7954891891721947,1.3862943611198906,0.7419373447293773,9.612867836097005,7.0909098220799835,1.8841443681416772,85.5,130.5,31.35,4.460144413937834,4.879006851617819,1
POND,ASSAM,2017,27.5,8.45,8.45,186.5,9.25,1.85,900.0,2380.0,5.233778845410465,2.327277705584417,1.0473189942805592,7.7752758464868625,6.803505257608338,2.9068883707497264,254.375,1725.125,50.875,5.542733053137786,7.453634290805515,1
POND,ASSAM,2017,25.0,6.800000000000001,7.300000000000001,349.5,4.5,2.3,10850.0,120180.0,5.859360706474645,1.7047480922384253,1.1939224684724346,11.696754218705356,9.292012520620208,2.6076809620810595,112.5,1572.75,57.49999999999999,4.7318028369214575,7.361216585358557,1
POND,ASSAM,2017,26.0,8.45,7.9,217.5,4.8,9.709999999999999,1150.0,2165.0,5.3867860145356445,1.7578579175523736,2.3711778844596574,7.680637427560936,7.048386408721883,2.9068883707497264,124.8,1044.0,252.45999999999998,4.8346933442663405,6.951772164398911,1
POND,ASSAM,2017,28.0,8.5,7.55,213.5,9.2,1.25,900.0,10955.0,5.368309738368072,2.322387720290225,0.8109302162163288,9.301642530382969,6.803505257608338,2.9154759474226504,257.59999999999997,1964.1999999999998,35.0,5.555282466337757,7.583349300294493,1
POND,ASSAM,2017,28.0,6.85,6.6,37.0,2.25,2.6,515.0,1530.0,3.6375861597263857,1.1786549963416462,1.2809338454620642,7.333676395657684,6.246106765481563,2.6172504656604803,63.0,83.25,72.8,4.1588830833596715,4.433788569232471,1
POND,ASSAM,2017,29.0,7.3500000000000005,7.25,113.0,3.5,0.85,1500.0,6150.0,4.736198448394496,1.5040773967762742,0.6151856390902334,8.724369949208368,7.313886831633462,2.711088342345192,101.5,395.5,24.65,4.629862798578463,5.982676041074902,1
POND,ASSAM,2017,29.5,5.1,7.0,28.5,4.3,0.75,515.0,1380.0,3.3843902633457743,1.667706820558076,0.5596157879354227,7.2305631534092925,6.246106765481563,2.258317958127243,126.85,122.55,22.125,4.850857701737196,4.816645932434619,1
POND,ASSAM,2017,28.5,5.300000000000001,7.0,42.5,3.75,2.55,1900.0,2380.0,3.7727609380946383,1.55814461804655,1.2669476034873244,7.7752758464868625,7.550135342488429,2.302172886644268,106.875,159.375,72.675,4.680973149403592,5.0775148229358,1
POND,ASSAM,2017,29.5,5.15,7.050000000000001,62.5,4.5,2.9499999999999997,1150.0,7680.0,4.151039905898646,1.7047480922384253,1.3737155789130304,8.946505025998682,7.048386408721883,2.2693611435820435,132.75,281.25,87.02499999999999,4.8959723857761155,5.642793203029772,1
POND,ASSAM,2017,24.5,5.25,7.15,99.5,5.449999999999999,0.7999999999999999,900.0,55150.0,4.61015772749913,1.864080130807681,0.5877866649021191,10.917830156883532,6.803505257608338,2.29128784747792,133.52499999999998,542.275,19.599999999999998,4.901750055375484,6.2976156374058,1
POND,ASSAM,2017,24.5,6.0,7.1,33.0,2.95,0.6000000000000001,1150.0,12180.0,3.5263605246161616,1.3737155789130306,0.47000362924573563,9.407632639699958,7.048386408721883,2.449489742783178,72.275,97.35000000000001,14.700000000000003,4.2942194865969565,4.5885325448350684,1
POND,ASSAM,2017,24.5,6.0,7.1,111.5,3.15,1.2,730.0,3930.0,4.722953221644475,1.423108334242607,0.7884573603642702,8.27664912542186,6.594413459749778,2.449489742783178,77.175,351.22499999999997,29.4,4.3589499033439045,5.86427017593934,1
POND,ASSAM,2017,24.5,7.15,6.75,213.5,2.3,1.2,730.0,10680.0,5.368309738368072,1.1939224684724346,0.7884573603642702,9.276221741089696,6.594413459749778,2.6739483914241875,56.349999999999994,491.04999999999995,29.4,4.04917284357538,6.198580337344994,1
POND,ASSAM,2017,26.0,5.75,6.95,51.5,2.6,1.4500000000000002,330.0,930.0,3.960813169597578,1.2809338454620642,0.8960880245566357,6.836259277277067,5.802118375377063,2.3979157616563596,67.60000000000001,133.9,37.7,4.22829253473184,4.90453376321371,1
POND,ASSAM,2017,27.75,5.65,7.199999999999999,300.5,5.0,1.9500000000000002,1950.0,14955.0,5.70877001616724,1.791759469228055,1.0818051703517284,9.612867836097005,7.576097340623111,2.3769728648009427,138.75,1502.5,54.112500000000004,4.939855112035208,7.315551002428584,1
POND,ASSAM,2017,23.5,4.4,7.15,150.5,3.55,0.9500000000000001,880.0,1580.0,5.020585624949423,1.5151272329628591,0.6678293725756554,7.365812837209472,6.78105762593618,2.0976176963403033,83.425,534.275,22.325000000000003,4.435863566271632,6.282780633525241,1
TANK,ASSAM,2017,24.5,6.2,6.85,28.5,2.2,0.9500000000000001,460.0,1180.0,3.3843902633457743,1.1631508098056809,0.6678293725756554,7.074116816197362,6.133398042996649,2.4899799195977463,53.900000000000006,62.7,23.275000000000002,4.0055133485154855,4.154184562578117,1
LAKE,BIHAR,2017,25.5,6.7,7.550000000000001,273.5,2.45,0.025,16500.0,26500.0,5.614951260949585,1.2383742310432684,0.0246926125903715,10.184937747111391,9.711176264112805,2.588435821108957,62.475,670.075,0.6375000000000001,4.1506461275907425,6.508880904197922,1
LAKE,BIHAR,2017,26.0,7.050000000000001,7.5,732.5,2.45,0.025,8050.0,13550.0,6.597827597583036,1.2383742310432684,0.0246926125903715,9.514215624322715,8.993551586299981,2.6551836094703507,63.7,1794.6250000000002,0.65,4.169761201506855,7.493108429733554,1
POND,BIHAR,2017,26.0,7.85,7.6,544.0,2.9000000000000004,0.025,14350.0,21950.0,6.300785794663244,1.3609765531356008,0.0246926125903715,9.99656797555214,9.571574905170932,2.80178514522438,75.4,1577.6000000000001,0.65,4.335982696172475,7.3642936572743025,1
POND,BIHAR,2017,25.5,8.100000000000001,7.8,454.0,2.65,0.025,11350.0,17350.0,6.12029741895095,1.2947271675944,0.0246926125903715,9.761405420601672,9.337061124755339,2.8460498941515415,67.575,1203.1,0.6375000000000001,4.227928036823667,7.093487678898173,1
LAKE,CHANDIGARH,2017,23.0,7.3999999999999995,7.9,190.5,72.5,2.74,105001.0,270001.0,5.2548878086207,4.297285406218791,1.3190856114264407,12.506184645360484,11.561734676577304,2.7202941017470885,1667.5,13811.25,63.02,7.4196802981914285,9.533311158548798,1
LAKE,CHHATTISGARH,2017,26.0,8.9,7.45,663.0,4.5,0.235,265.0,260.0,6.498282149476434,1.7047480922384253,0.2110709700799405,5.564520407322694,5.583496308781699,2.9832867780352594,117.0,2983.5,6.109999999999999,4.770684624465665,8.001187507608705,1
POND,CHHATTISGARH,2017,26.0,6.800000000000001,7.5,663.0,4.5,0.185,265.0,460.0,6.498282149476434,1.7047480922384253,0.1697427745870945,6.133398042996649,5.583496308781699,2.6076809620810595,117.0,2983.5,4.81,4.770684624465665,8.001187507608705,1
LAKE,GOA,2017,30.5,7.2,6.949999999999999,189.5,0.75,0.08,3954.0,6501.0,5.249652194566756,0.5596157879354227,0.07696104113612832,8.779865100863852,8.282735880201754,2.6832815729997477,22.875,142.125,2.44,3.172831886366794,4.963718374308504,1
LAKE,GOA,2017,29.75,6.6000000000000005,6.6,57.5,1.35,0.415,2560.0,4730.0,4.069026754237811,0.8544153281560676,0.3471295310952009,8.461891875631148,7.848153086199526,2.569046515733026,40.1625,77.625,12.34625,3.717527647702483,4.364689715020605,1
LAKE,GOA,2017,29.75,7.6,7.050000000000001,71.5,1.2,0.215,69.0,271.0,4.283586561860629,0.7884573603642702,0.1947440767925118,5.605802066295998,4.248495242049359,2.756809750418044,35.699999999999996,85.8,6.39625,3.6027767550605243,4.463606621666305,1
LAKE,GOA,2017,30.15,4.7,7.15,211.0,3.3,1.23,4340.0,6050.0,5.356586274672012,1.4586150226995167,0.8020015854720274,8.707978826622321,8.375860015299594,2.16794833886788,99.49499999999999,696.3,37.0845,4.610107975017715,6.547215734226965,1
LAKE,GOA,2017,28.15,5.65,7.050000000000001,149.0,3.05,0.62,4005.0,11070.0,5.0106352940962555,1.3987168811184478,0.4824261492442927,9.312084355859467,8.295548516225763,2.3769728648009427,85.85749999999999,454.45,17.453,4.464268844744505,6.121285941190819,1
